A!NET_NAME!REFDES!PIN_NUMBER!FUNC_LOGICAL_PATH!COMP_DEVICE_TYPE!FUNC_SCH_SIZE!FUNC_HAS_FIXED_SIZE!FUNC_DES!PIN_NET_SHORT!PIN_NO_SWAP_PIN!PIN_NO_PIN_ESCAPE!PIN_CDS_PINID!PIN_XNET_PINS!PIN_PIN_ESCAPE!PIN_PIN_SIGNAL_MODEL!PIN_NO_DRC!PIN_NO_SHAPE_CONNECT!
J!F:/ST-LINK-V2/Hardware/allegro/st-link-v2_pro.brd!Sun Nov 26 21:39:39 2023!-3937.00!-3937.00!3937.00!3937.00!0.01!mils!ST-LINK-V2_PRO!60.433071 mil!2!UP TO DATE!
S!3V3_ST!D7!A!@\st-link-v2_pro\.\st-link\(sch_1):ins18517@private.\led_green_0603.normal\(chips)!LED_GREEN_0603_LEDC160X80X70L30N_GREEN_LED!!!F56!!!!!!!!!!
S!N18917!D7!C!@\st-link-v2_pro\.\st-link\(sch_1):ins18517@private.\led_green_0603.normal\(chips)!LED_GREEN_0603_LEDC160X80X70L30N_GREEN_LED!!!F56!!!!!!!!!!
S!GND!C1!1!@\st-link-v2_pro\.\st-link\(sch_1):ins8522@private.\cap_20pf_50v_np0_0402.normal\(chips)!CAP_20PF_50V_NP0_0402_CAPC100X50X55L25N_20PF,50V!!!F78!!!!!!!!!!
S!OSC_IN!C1!2!@\st-link-v2_pro\.\st-link\(sch_1):ins8522@private.\cap_20pf_50v_np0_0402.normal\(chips)!CAP_20PF_50V_NP0_0402_CAPC100X50X55L25N_20PF,50V!!!F78!!!!!!!!!!
S!GND!C10!1!@\st-link-v2_pro\.\st-link\(sch_1):ins9156@private.\cap_20pf_50v_np0_0402.normal\(chips)!CAP_20PF_50V_NP0_0402_CAPC100X50X55L25N_20PF,50V!!!F77!!!!!!!!!!
S!OSC32_OUT!C10!2!@\st-link-v2_pro\.\st-link\(sch_1):ins9156@private.\cap_20pf_50v_np0_0402.normal\(chips)!CAP_20PF_50V_NP0_0402_CAPC100X50X55L25N_20PF,50V!!!F77!!!!!!!!!!
S!GND!C16!1!@\st-link-v2_pro\.\st-link\(sch_1):ins16087@private.\cap_20pf_50v_np0_0402.normal\(chips)!CAP_20PF_50V_NP0_0402_CAPC100X50X55L25N_20PF,50V!!!F76!!!!!!!!!!
S!N15750!C16!2!@\st-link-v2_pro\.\st-link\(sch_1):ins16087@private.\cap_20pf_50v_np0_0402.normal\(chips)!CAP_20PF_50V_NP0_0402_CAPC100X50X55L25N_20PF,50V!!!F76!!!!!!!!!!
S!GND!C6!1!@\st-link-v2_pro\.\st-link\(sch_1):ins8564@private.\cap_20pf_50v_np0_0402.normal\(chips)!CAP_20PF_50V_NP0_0402_CAPC100X50X55L25N_20PF,50V!!!F75!!!!!!!!!!
S!OSC_OUT!C6!2!@\st-link-v2_pro\.\st-link\(sch_1):ins8564@private.\cap_20pf_50v_np0_0402.normal\(chips)!CAP_20PF_50V_NP0_0402_CAPC100X50X55L25N_20PF,50V!!!F75!!!!!!!!!!
S!GND!C9!1!@\st-link-v2_pro\.\st-link\(sch_1):ins9096@private.\cap_20pf_50v_np0_0402.normal\(chips)!CAP_20PF_50V_NP0_0402_CAPC100X50X55L25N_20PF,50V!!!F74!!!!!!!!!!
S!OSC32_IN!C9!2!@\st-link-v2_pro\.\st-link\(sch_1):ins9096@private.\cap_20pf_50v_np0_0402.normal\(chips)!CAP_20PF_50V_NP0_0402_CAPC100X50X55L25N_20PF,50V!!!F74!!!!!!!!!!
S!3V3_ST!C11!1!@\st-link-v2_pro\.\st-link\(sch_1):ins7279@private.\cap_100nf_25v_x5r_0402.normal\(chips)!CAP_100NF_25V_X5R_0402_CAPC100X50X55L25N_100NF,25V!!!F73!!!!!!!!!!
S!GND!C11!2!@\st-link-v2_pro\.\st-link\(sch_1):ins7279@private.\cap_100nf_25v_x5r_0402.normal\(chips)!CAP_100NF_25V_X5R_0402_CAPC100X50X55L25N_100NF,25V!!!F73!!!!!!!!!!
S!3V3_ST!C12!1!@\st-link-v2_pro\.\st-link\(sch_1):ins7295@private.\cap_100nf_25v_x5r_0402.normal\(chips)!CAP_100NF_25V_X5R_0402_CAPC100X50X55L25N_100NF,25V!!!F72!!!!!!!!!!
S!GND!C12!2!@\st-link-v2_pro\.\st-link\(sch_1):ins7295@private.\cap_100nf_25v_x5r_0402.normal\(chips)!CAP_100NF_25V_X5R_0402_CAPC100X50X55L25N_100NF,25V!!!F72!!!!!!!!!!
S!3V3_ST!C13!1!@\st-link-v2_pro\.\st-link\(sch_1):ins7311@private.\cap_100nf_25v_x5r_0402.normal\(chips)!CAP_100NF_25V_X5R_0402_CAPC100X50X55L25N_100NF,25V!!!F71!!!!!!!!!!
S!GND!C13!2!@\st-link-v2_pro\.\st-link\(sch_1):ins7311@private.\cap_100nf_25v_x5r_0402.normal\(chips)!CAP_100NF_25V_X5R_0402_CAPC100X50X55L25N_100NF,25V!!!F71!!!!!!!!!!
